code,CodeLabel,Ingredients
90001338,TEOFILINA | TEOLONG 200 MG CAP GEL MICROG CT BL AL PLAS AMB X 30 | ABBOTT LABORATORIOS DO BRASIL LTDA.,TEOFILINA
90001354,"HEPARINA SODICA+NICOTINATO DE BENZILA | TROMBOFOB 50 UI/G +2,067 MG/G POM DERM CT BG AL X 40 G | ABBOTT LABORATORIOS DO BRASIL LTDA.",HEPARINA SODICA+NICOTINATO DE BENZILA
90001362,HEPARINA SODICA | TROMBOFOB GEL 200 UI/G GL TOP CT BG AL X 40 G | ABBOTT LABORATORIOS DO BRASIL LTDA.,HEPARINA SODICA
90001990,BICALUTAMIDA | BICALUTAMIDA - GENERICO | 50 mg. bl. plast. 28 cprs. rev. | ACCORD,BICALUTAMIDA
90002008,"EPIRRUBICINA, CLORIDRATO DE | BRECILA (Restrito Hosp.) | 2 mg/ml sol. inj. IM fr. vd. x 10 ml | ACCORD","EPIRRUBICINA, CLORIDRATO DE"
90002016,"EPIRRUBICINA, CLORIDRATO DE | BRECILA (Restrito Hosp.) | 2 mg/ml sol. inj. IM fr. vd. x 25 ml | ACCORD","EPIRRUBICINA, CLORIDRATO DE"
90002032,CARBOPLATINA | CARBOPLATINA - GENERICO (Restrito Hosp.) | 10 mg/ml sol. inj. IV FA vd. x 15 ml | ACCORD,CARBOPLATINA
90002040,CARBOPLATINA | CARBOPLATINA - GENERICO (Restrito Hosp.) | 10 mg/ml sol. inj. IV FA vd. x 45 ml | ACCORD,CARBOPLATINA
90002067,CISPLATINA | CISPLATINA - GENERICO (Restrito Hosp.) | 1 mg/ml sol. inj. IV FA vd. x 10 ml | ACCORD,CISPLATINA
90002083,CISPLATINA | CISPLATINA - GENERICO (Restrito Hosp.) | 1 mg/ml sol. inj. IV FA vd. x 50 ml | ACCORD,CISPLATINA
90002091,CITARABINA | CITARABINA - GENERICO (Restrito Hosp.) | 100 mg/ml sol. inj. IV FA vd. x 10 ml | ACCORD,CITARABINA
90002105,CITARABINA | CITARABINA - GENERICO (Restrito Hosp.) | 100 mg/ml sol. inj. IV FA vd. x 1 ml | ACCORD,CITARABINA
90002113,CITARABINA | CITARABINA - GENERICO (Restrito Hosp.) | 100 mg/ml sol. inj. IV FA vd. x 5 ml | ACCORD,CITARABINA
90002130,"EPIRRUBICINA, CLORIDRATO DE | CLORIDRATO DE EPIRRUBICINA - GENERICO (Restrito Hosp.) | 2 mg/ml sol. inj. IM fr. vd. x 25 ml | ACCORD","EPIRRUBICINA, CLORIDRATO DE"
90002148,"EPIRRUBICINA, CLORIDRATO DE | CLORIDRATO DE EPIRRUBICINA - GENERICO (Restrito Hosp.) | 2 mg/ml sol. inj. IM fr. vd. x 5 ml | ACCORD","EPIRRUBICINA, CLORIDRATO DE"
90002156,"GENCITABINA, CLORIDRATO DE | CLORIDRATO DE GENCITABINA - GENERICO (Restrito Hosp.) | 1000 mg. po liof. inj. FA vd. x 50 ml | ACCORD","GENCITABINA, CLORIDRATO DE"
90002164,"GENCITABINA, CLORIDRATO DE | CLORIDRATO DE GENCITABINA - GENERICO (Restrito Hosp.) | 200 mg. po liof. inj. FA vd. x 10 ml | ACCORD","GENCITABINA, CLORIDRATO DE"
90002172,"IRINOTECANO, CLORIDRATO DE | CLORIDRATO DE IRINOTECANO - GENERICO (Restrito Hosp.) | 20 mg/ml sol. inj. FA vd. amb. x 2 ml | ACCORD","IRINOTECANO, CLORIDRATO DE"
90002180,"IRINOTECANO, CLORIDRATO DE | CLORIDRATO DE IRINOTECANO - GENERICO (Restrito Hosp.) | 20 mg/ml sol. inj. FA vd. amb. x 5 ml | ACCORD","IRINOTECANO, CLORIDRATO DE"
90002229,"METFORMINA, CLORIDRATO DE | CLORIDRATO DE METFORMINA - GENERICO | 850 mg. bl. 30 cprs. rev. | ACCORD","METFORMINA, CLORIDRATO DE"
90002253,"VINCRISTINA, SULFATO DE | DABAZ (Restrito Hosp.) | 1 mg/ml sol. inj. FA vd. x 2 ml | ACCORD","VINCRISTINA, SULFATO DE"
90002270,DICLOFENACO POTASSICO | DICLOFENACO POTASSICO - GENERICO | 50 mg. bl. 20 cprs. rev. | ACCORD,DICLOFENACO POTASSICO
90002296,DICLOFENACO POTASSICO | DICLOFENACO POTASSICO - GENERICO | 50 mg. bl. 10 cprs. rev. | ACCORD,DICLOFENACO POTASSICO
90002300,FLUOROURACILA | FLUORURACILA - GENERICO (Restrito Hosp.) | 50 mg/ml sol. inj. FA vd. inc. x 10 ml | ACCORD,FLUOROURACILA
90002318,FLUOROURACILA | FLUORURACILA - GENERICO (Restrito Hosp.) | 50 mg/ml sol. inj. FA vd. inc. x 20 ml | ACCORD,FLUOROURACILA
90002326,FLUOROURACILA | FLUORURACILA - GENERICO (Restrito Hosp.) | 50 mg/ml sol. inj. FA vd. inc. x 5 ml | ACCORD,FLUOROURACILA
90002342,GLIMEPIRIDA | GLIMEPIRIDA - GENERICO | 1 mg. bl. 30 cprs. | ACCORD,GLIMEPIRIDA
90002377,GLIMEPIRIDA | GLIMEPIRIDA - GENERICO | 2 mg. bl. 30 cprs. | ACCORD,GLIMEPIRIDA
90002407,GLIMEPIRIDA | GLIMEPIRIDA - GENERICO | 4 mg. bl. 30 cprs. | ACCORD,GLIMEPIRIDA
90002423,METOTREXATO | HYTAS (Restrito Hosp.) | 100 mg/ml sol. inj. FA vd. x 10 ml | ACCORD,METOTREXATO
90002440,METOTREXATO | HYTAS (Restrito Hosp.) | 25 mg/ml sol. inj. FA vd. x 2 ml | ACCORD,METOTREXATO
90002458,"MOFETILA, MICOFENOLATO DE | MICOFENOLATO DE MOFETILA - GENERICO | 500 mg. bl. 50 cprs. rev. | ACCORD","MOFETILA, MICOFENOLATO DE"
90002466,"MOFETILA, MICOFENOLATO DE | MICOFENOLATO DE MOFETILA - GENERICO (Restrito Hosp.) | 500 mg. bl. 500 cprs. rev. (hosp.) | ACCORD","MOFETILA, MICOFENOLATO DE"
90002474,FLUOROURACILA | NEUGRAST (Restrito Hosp.) | 50 mg/ml sol. inj. FA vd. x 10 ml | ACCORD,FLUOROURACILA
90002482,FLUOROURACILA | NEUGRAST (Restrito Hosp.) | 50 mg/ml sol. inj. FA vd. x 20 ml | ACCORD,FLUOROURACILA
90002490,FLUOROURACILA | NEUGRAST (Restrito Hosp.) | 50 mg/ml sol. inj. FA vd. x 5 ml | ACCORD,FLUOROURACILA
90002504,"PACLITAXEL | PACLITAXEL - GENERICO (Restrito Hosp.) | 6 mg/ml sol. inj. IV FA vd. x 16,7 ml | ACCORD",PACLITAXEL
90002512,PACLITAXEL | PACLITAXEL - GENERICO (Restrito Hosp.) | 6 mg/ml sol. inj. IV FA vd. x 50 ml | ACCORD,PACLITAXEL
90002520,PACLITAXEL | PACLITAXEL - GENERICO (Restrito Hosp.) | 6 mg/ml sol. inj. IV FA vd. x 5 ml | ACCORD,PACLITAXEL
90002539,"PACLITAXEL | PANTIUM (Restrito Hosp.) | 6 mg/ml sol. inj. FA vd. x 16,7 ml | ACCORD",PACLITAXEL
90002547,PACLITAXEL | PANTIUM (Restrito Hosp.) | 6 mg/ml sol. inj. FA vd. x 50 ml | ACCORD,PACLITAXEL
90002555,PACLITAXEL | PANTIUM (Restrito Hosp.) | 6 mg/ml sol. inj. FA vd. x 5 ml | ACCORD,PACLITAXEL
90002563,PANTOPRAZOL | PANTOPRAZOL - GENERICO | 20 mg. bl. 14 cprs. rev. | ACCORD,PANTOPRAZOL
90002571,PANTOPRAZOL | PANTOPRAZOL - GENERICO | 20 mg. bl. 28 cprs. rev. | ACCORD,PANTOPRAZOL
90002598,PANTOPRAZOL | PANTOPRAZOL - GENERICO | 20 mg. bl. 7 cprs. rev. | ACCORD,PANTOPRAZOL
90002601,PANTOPRAZOL | PANTOPRAZOL - GENERICO | 40 mg. bl. 14 cprs. rev. | ACCORD,PANTOPRAZOL
90002610,PANTOPRAZOL | PANTOPRAZOL - GENERICO | 40 mg. bl. 28 cprs. rev. | ACCORD,PANTOPRAZOL
90002636,PANTOPRAZOL | PANTOPRAZOL - GENERICO | 40 mg. bl. 7 cprs. rev. | ACCORD,PANTOPRAZOL
90002652,PRAVASTATINA SODICA | PRAVASTATINA SODICA - GENERICO | 10 mg. bl. 30 cprs. | ACCORD,PRAVASTATINA SODICA
90002679,PRAVASTATINA SODICA | PRAVASTATINA SODICA - GENERICO | 20 mg. bl. 30 cprs. | ACCORD,PRAVASTATINA SODICA
90002695,PRAVASTATINA SODICA | PRAVASTATINA SODICA - GENERICO | 40 mg. bl. 30 cprs. | ACCORD,PRAVASTATINA SODICA
90002709,"VINCRISTINA, SULFATO DE | SULFATO DE VINCRISTINA - GENERICO (Restrito Hosp.) | 1 mg/ml sol. inj. FA vd. x 2 ml | ACCORD","VINCRISTINA, SULFATO DE"
90002717,ACICLOVIR | ACICLOVIR - GENERICO (*) | 200 mg. bl. 25 cprs. | ACHE,ACICLOVIR
90002725,ACICLOVIR | ACICLOVIR - GENERICO | 50 mg/g creme derm. x 10 g | ACHE,ACICLOVIR
90002733,"DESONIDA | ADINOS | 0,5 mg/g gel creme ct. bg. al. x 15 g | ACHE",DESONIDA
90002741,"DESONIDA | ADINOS | 0,5 mg/g gel creme ct. bg. al. x 30 g | ACHE",DESONIDA
90002750,"TRIANCINOLONA, ACETONIDO DE | AIRCLIN | Spray nasal fr. 15 ml. (120 doses) | ACHE","TRIANCINOLONA, ACETONIDO DE"
90002768,"GESTODENO+ETINILESTRADIOL | ALLESTRA 0,075 MG + 0,020 MG DRG CT ENV AL BL AL PLAS INC X 21 | 0,075 | 0,020 MG. CT. X 21 DRAGS. | ACHE LABORATORIOS FARMACEUTICOS S.A. ",GESTODENO+ETINILESTRADIOL
90002776,"GESTODENO+ETINILESTRADIOL | ALLESTRA 0,075 MG + 0,020 MG DRG CT ENV AL BL AL PLAS INC X 63 | 0,075 | 0,020 MG. CT. 3 BL. X 21 DRAGS. | ACHE LABORATORIOS FARMACEUTICOS S.A. ",GESTODENO+ETINILESTRADIOL
90002784,"GESTODENO+ETINILESTRADIOL | ALLESTRA 0,075 MG + 0,030 MG DRG CT ENV AL BL AL PLAS INC X 21 | 0,075|0,030 MG. CT. X 21 DRAGS. | ACHE LABORATORIOS FARMACEUTICOS S.A. ",GESTODENO+ETINILESTRADIOL
90002792,"GESTODENO+ETINILESTRADIOL | ALLESTRA 0,075 MG + 0,030 MG DRG CT ENV AL BL AL PLAS INC X 63 | 0,075 MG. | 0,030 MG. CT. X 63 DRAGS. | ACHE LABORATORIOS FARMACEUTICOS S.A. ",GESTODENO+ETINILESTRADIOL
90002806,AMOXICILINA SODICA | AMOXICILINA - GENERICO | 500 mg. bl. 15 caps. gel. dura | ACHE,AMOXICILINA SODICA
90002814,AMOXICILINA SODICA | AMOXICILINA - GENERICO | 500 mg. bl. 21 caps. gel. dura | ACHE,AMOXICILINA SODICA
90002822,AMOXICILINA SODICA | AMOXICILINA - GENERICO | 500 mg. bl. 30 caps. gel. dura | ACHE,AMOXICILINA SODICA
90002830,AMOXICILINA SODICA | AMOXICILINA - GENERICO | 875 mg. bl. 14 cprs. rev. | ACHE,AMOXICILINA SODICA
90002849,AMOXICILINA SODICA | AMOXICILINA - GENERICO | 250 mg/5 ml po prep. ext. susp. oral fr. vd. x 150 ml + ser. dos. x 10 ml | ACHE,AMOXICILINA SODICA
90002857,AMOXICILINA SODICA | AMOXICILINA - GENERICO | 400 mg/5 ml po prep. ext. susp. oral fr. vd. x 100 ml + ser. dos. x 10 ml | ACHE,AMOXICILINA SODICA
90002865,"ISOTIPENDIL, CLORIDRATO DE | ANDANTOL | Geleia bisn. 40 g. | ACHE","ISOTIPENDIL, CLORIDRATO DE"
90002873,LEVODROPROPIZINA | ANTUX | Gotas 10 ml | ACHE,LEVODROPROPIZINA
