code,CodeLabel,Ingredients
A02BA51,"cimetidine, combinations ","cimetidine, combinations "
A02BA53,"famotidine, combinations ","famotidine, combinations "
A02BB,Prostaglandins ,Prostaglandins 
A02BB01,misoprostol | 0.8mg | Oral,misoprostol
A02BB02,enprostil | 70mcg | Oral,enprostil
A02BC,Proton pump inhibitors ,Proton pump inhibitors 
A02BC01,omeprazole | 20mg | Oral,omeprazole
A02BC02,pantoprazole | 40mg | Oral,pantoprazole
A02BC03,lansoprazole | 30mg | Oral,lansoprazole
A02BC04,rabeprazole | 20mg | Oral,rabeprazole
A02BC05,esomeprazole | 30mg | Oral,esomeprazole
A02BC06,dexlansoprazole | 30mg | Oral,dexlansoprazole
A02BC07,dexrabeprazole ,dexrabeprazole 
A02BC53,"lansoprazole, combinations ","lansoprazole, combinations "
A02BC54,"rabeprazole, combinations ","rabeprazole, combinations "
A02BD,Combinations for eradication of Helicobacter pylori ,Combinations for eradication of Helicobacter pylori 
A02BD01,"omeprazole, amoxicillin and metronidazole ","omeprazole, amoxicillin and metronidazole "
A02BD02,"lansoprazole, tetracycline and metronidazole ","lansoprazole, tetracycline and metronidazole "
A02BD03,"lansoprazole, amoxicillin and metronidazole ","lansoprazole, amoxicillin and metronidazole "
A02BD04,"pantoprazole, amoxicillin and clarithromycin ","pantoprazole, amoxicillin and clarithromycin "
A02BD05,"omeprazole, amoxicillin and clarithromycin ","omeprazole, amoxicillin and clarithromycin "
A02BD06,"esomeprazole, amoxicillin and clarithromycin ","esomeprazole, amoxicillin and clarithromycin "
A02BD07,"lansoprazole, amoxicillin and clarithromycin ","lansoprazole, amoxicillin and clarithromycin "
A02BD08,"bismuth subcitrate, tetracycline and metronidazole ","bismuth subcitrate, tetracycline and metronidazole "
A02BD09,"lansoprazole, clarithromycin and tinidazole ","lansoprazole, clarithromycin and tinidazole "
A02BD10,"lansoprazole, amoxicillin and levofloxacin ","lansoprazole, amoxicillin and levofloxacin "
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole ","pantoprazole, amoxicillin, clarithromycin and metronidazole "
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) ,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) 
A02BX01,carbenoxolone | 0.15g | Oral,carbenoxolone
A02BX02,sucralfate | 4g | Oral,sucralfate
A02BX03,pirenzepine | 0.1g | Oral,pirenzepine
A02BX04,methiosulfonium chloride ,methiosulfonium chloride 
A02BX05,bismuth subcitrate | 0.48g | Oral,bismuth subcitrate
A02BX06,proglumide | 1.2g | Oral,proglumide
A02BX07,gefarnate ,gefarnate 
A02BX08,sulglicotide ,sulglicotide 
A02BX09,acetoxolone ,acetoxolone 
A02BX10,zolimidine ,zolimidine 
A02BX11,troxipide ,troxipide 
A02BX12,bismuth subnitrate ,bismuth subnitrate 
A02BX13,alginic acid ,alginic acid 
A02BX14,rebamipide | 0.3g | Oral,rebamipide
A02BX51,"carbenoxolone, combinations excl. psycholeptics ","carbenoxolone, combinations excl. psycholeptics "
A02BX71,"carbenoxolone, combinations with psycholeptics ","carbenoxolone, combinations with psycholeptics "
A02BX77,"gefarnate, combinations with psycholeptics ","gefarnate, combinations with psycholeptics "
A02X,OTHER DRUGS FOR ACID RELATED DISORDERS ,OTHER DRUGS FOR ACID RELATED DISORDERS 
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS ,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS 
A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS ,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS 
A03AA,"Synthetic anticholinergics, esters with tertiary amino group ","Synthetic anticholinergics, esters with tertiary amino group "
A03AA01,oxyphencyclimine | 20mg | Oral,oxyphencyclimine
A03AA03,camylofin | 0.2g | Oral,camylofin
A03AA04,mebeverine | 0.3g | Oral,mebeverine
A03AA05,trimebutine | 0.6g | Oral,trimebutine
A03AA06,rociverine ,rociverine 
A03AA07,dicycloverine | 80mg | Oral,dicycloverine
A03AA08,dihexyverine ,dihexyverine 
A03AA09,difemerine ,difemerine 
A03AA30,piperidolate ,piperidolate 
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds ","Synthetic anticholinergics, quaternary ammonium compounds "
A03AB01,benzilone | 70mg | Oral,benzilone
A03AB02,glycopyrronium bromide | 3mg | Oral,glycopyrronium bromide
A03AB03,oxyphenonium | 25mg | Oral,oxyphenonium
A03AB04,penthienate | 15mg | Oral,penthienate
A03AB05,propantheline | 60mg | Oral,propantheline
A03AB06,otilonium bromide ,otilonium bromide 
A03AB07,methantheline | 0.15g | Oral,methantheline
A03AB08,tridihexethyl | 0.125g | Oral,tridihexethyl
A03AB09,isopropamide | 10mg | Oral,isopropamide
A03AB10,hexocyclium | 0.15g | Oral,hexocyclium
A03AB11,poldine | 12mg | Oral,poldine
A03AB12,mepenzolate | 0.1g | Oral,mepenzolate
A03AB13,bevonium | 0.2g | Oral,bevonium
A03AB14,pipenzolate | 20mg | Oral,pipenzolate
A03AB15,diphemanil ,diphemanil 
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide | 0.3g | Oral,(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A03AB17,tiemonium iodide ,tiemonium iodide 
A03AB18,prifinium bromide ,prifinium bromide 
A03AB19,timepidium bromide ,timepidium bromide 
A03AB21,fenpiverinium ,fenpiverinium 
A03AB53,"oxyphenonium, combinations ","oxyphenonium, combinations "
A03AC,"Synthetic antispasmodics, amides with tertiary amines ","Synthetic antispasmodics, amides with tertiary amines "
A03AC02,dimethylaminopropionylphenothiazine ,dimethylaminopropionylphenothiazine 
A03AC04,nicofetamide ,nicofetamide 
A03AC05,tiropramide ,tiropramide 
A03AD,Papaverine and derivatives ,Papaverine and derivatives 
A03AD01,papaverine | 0.1g | Oral,papaverine
A03AD02,drotaverine | 0.1g | Oral,drotaverine
A03AD30,moxaverine | 50mg | Oral,moxaverine
A03AE,Serotonin receptor antagonists ,Serotonin receptor antagonists 
A03AE01,alosetron | 1mg | Oral,alosetron
A03AE03,cilansetron ,cilansetron 
A03AX,Other drugs for functional gastrointestinal disorders ,Other drugs for functional gastrointestinal disorders 
A03AX01,fenpiprane ,fenpiprane 
A03AX02,diisopromine ,diisopromine 
A03AX03,chlorbenzoxamine | 0.15g | Oral,chlorbenzoxamine
A03AX04,pinaverium | 0.15g | Oral,pinaverium
A03AX05,fenoverine ,fenoverine 
A03AX06,idanpramine ,idanpramine 
A03AX07,proxazole ,proxazole 
A03AX08,alverine ,alverine 
A03AX09,trepibutone ,trepibutone 
A03AX10,isometheptene ,isometheptene 
A03AX11,caroverine ,caroverine 
A03AX12,phloroglucinol ,phloroglucinol 
A03AX13,silicones | 0.5g | Oral,silicones
A03AX14,valethamate ,valethamate 
A03AX30,trimethyldiphenylpropylamine | 50mg | Oral,trimethyldiphenylpropylamine
A03AX58,"alverine, combinations ","alverine, combinations "
A03B,"BELLADONNA AND DERIVATIVES, PLAIN ","BELLADONNA AND DERIVATIVES, PLAIN "
A03BA,"Belladonna alkaloids, tertiary amines ","Belladonna alkaloids, tertiary amines "
A03BA01,atropine | 1.5mg | Oral,atropine
A03BA03,hyoscyamine | 1.2mg | Oral,hyoscyamine
A03BA04,belladonna total alkaloids | 1mg | Oral,belladonna total alkaloids
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds ","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds "
A03BB01,butylscopolamine | 60mg | Oral,butylscopolamine
A03BB02,methylatropine | 3mg | Oral,methylatropine
A03BB03,methylscopolamine | 12mg | Oral,methylscopolamine
A03BB04,fentonium | 60mg | Oral,fentonium
A03BB05,cimetropium bromide ,cimetropium bromide 
A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS ,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS 
A03CA,Synthetic anticholinergic agents in combination with psycholeptics ,Synthetic anticholinergic agents in combination with psycholeptics 
A03CA01,isopropamide and psycholeptics ,isopropamide and psycholeptics 
A03CA02,clidinium and psycholeptics ,clidinium and psycholeptics 
A03CA03,oxyphencyclimine and psycholeptics ,oxyphencyclimine and psycholeptics 
A03CA04,otilonium bromide and psycholeptics ,otilonium bromide and psycholeptics 
A03CA05,glycopyrronium bromide and psycholeptics ,glycopyrronium bromide and psycholeptics 
A03CA06,bevonium and psycholeptics ,bevonium and psycholeptics 
A03CA07,ambutonium and psycholeptics ,ambutonium and psycholeptics 
A03CA08,diphemanil and psycholeptics ,diphemanil and psycholeptics 
A03CA09,pipenzolate and psycholeptics ,pipenzolate and psycholeptics 
A03CA30,emepronium and psycholeptics ,emepronium and psycholeptics 
A03CA34,propantheline and psycholeptics ,propantheline and psycholeptics 
A03CB,Belladonna and derivatives in combination with psycholeptics ,Belladonna and derivatives in combination with psycholeptics 
A03CB01,methylscopolamine and psycholeptics ,methylscopolamine and psycholeptics 
A03CB02,belladonna total alkaloids and psycholeptics ,belladonna total alkaloids and psycholeptics 
A03CB03,atropine and psycholeptics ,atropine and psycholeptics 
A03CB04,methylhomatropine and psycholeptics ,methylhomatropine and psycholeptics 
A03CB31,hyoscyamine and psycholeptics ,hyoscyamine and psycholeptics 
A03CC,Other antispasmodics in combination with psycholeptics ,Other antispasmodics in combination with psycholeptics 
A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS ,ANTISPASMODICS IN COMBINATION WITH ANALGESICS 
A03DA,Synthetic anticholinergic agents in combination with analgesics ,Synthetic anticholinergic agents in combination with analgesics 
A03DA01,tropenzilone and analgesics ,tropenzilone and analgesics 
A03DA02,pitofenone and analgesics ,pitofenone and analgesics 
A03DA03,bevonium and analgesics ,bevonium and analgesics 
A03DA04,ciclonium and analgesics ,ciclonium and analgesics 
A03DA05,camylofin and analgesics ,camylofin and analgesics 
A03DA06,trospium and analgesics ,trospium and analgesics 
A03DA07,tiemonium iodide and analgesics ,tiemonium iodide and analgesics 
A03DB,Belladonna and derivatives in combination with analgesics ,Belladonna and derivatives in combination with analgesics 
A03DB04,butylscopolamine and analgesics ,butylscopolamine and analgesics 
A03DC,Other antispasmodics in combination with analgesics ,Other antispasmodics in combination with analgesics 
A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS ,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS 
A03EA,"Antispasmodics, psycholeptics and analgesics in combination ","Antispasmodics, psycholeptics and analgesics in combination "
A03ED,Antispasmodics in combination with other drugs ,Antispasmodics in combination with other drugs 
A03F,PROPULSIVES ,PROPULSIVES 
A03FA,Propulsives ,Propulsives 
A03FA01,metoclopramide | 30mg | Oral,metoclopramide
A03FA02,cisapride | 30mg | Oral,cisapride
A03FA03,domperidone | 30mg | Oral,domperidone
A03FA04,bromopride | 20mg | Oral,bromopride
A03FA05,alizapride | 0.15g | Oral,alizapride
A03FA06,clebopride ,clebopride 
A03FA07,itopride ,itopride 
A03FA08,cinitapride ,cinitapride 
A04,ANTIEMETICS AND ANTINAUSEANTS ,ANTIEMETICS AND ANTINAUSEANTS 
A04A,ANTIEMETICS AND ANTINAUSEANTS ,ANTIEMETICS AND ANTINAUSEANTS 
A04AA,Serotonin (5HT3) antagonists ,Serotonin (5HT3) antagonists 
A04AA01,ondansetron | 16mg | Oral,ondansetron
A04AA02,granisetron | 2mg | Oral,granisetron
A04AA03,tropisetron | 5mg | Oral,tropisetron
A04AA04,dolasetron | 0.2g | Oral,dolasetron
A04AA05,palonosetron | 0.5mg | Oral,palonosetron
A04AA55,"palonosetron, combinations ","palonosetron, combinations "
A04AD,Other antiemetics ,Other antiemetics 
A04AD01,scopolamine ,scopolamine 
A04AD02,cerium oxalate ,cerium oxalate 
A04AD04,chlorobutanol ,chlorobutanol 
A04AD05,metopimazine | 15mg | Oral,metopimazine
A04AD10,dronabinol ,dronabinol 
A04AD11,nabilone ,nabilone 
A04AD12,aprepitant | 95mg | Oral,aprepitant
A04AD13,casopitant ,casopitant 
A04AD14,rolapitant | 0.18g | Oral,rolapitant
A04AD51,"scopolamine, combinations ","scopolamine, combinations "
A04AD54,"chlorobutanol, combinations ","chlorobutanol, combinations "
A05,BILE AND LIVER THERAPY ,BILE AND LIVER THERAPY 
A05A,BILE THERAPY ,BILE THERAPY 
A05AA,Bile acids and derivatives ,Bile acids and derivatives 
A05AA01,chenodeoxycholic acid | 1g | Oral,chenodeoxycholic acid
A05AA02,ursodeoxycholic acid | 0.75g | Oral,ursodeoxycholic acid
A05AA03,cholic acid ,cholic acid 
A05AA04,obeticholic acid | 10mg | Oral,obeticholic acid
A05AB,Preparations for biliary tract therapy ,Preparations for biliary tract therapy 
A05AB01,nicotinyl methylamide ,nicotinyl methylamide 
A05AX,Other drugs for bile therapy ,Other drugs for bile therapy 
A05AX01,piprozolin ,piprozolin 
A05AX02,hymecromone ,hymecromone 
A05AX03,cyclobutyrol ,cyclobutyrol 
A05B,"LIVER THERAPY, LIPOTROPICS ","LIVER THERAPY, LIPOTROPICS "
A05BA,Liver therapy ,Liver therapy 
A05BA01,arginine glutamate ,arginine glutamate 
A05BA03,silymarin ,silymarin 
A05BA04,citiolone ,citiolone 
A05BA05,epomediol ,epomediol 
A05BA06,ornithine oxoglurate ,ornithine oxoglurate 
A05BA07,tidiacic arginine ,tidiacic arginine 
A05BA08,glycyrrhizic acid ,glycyrrhizic acid 
A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION ,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION 
A06,DRUGS FOR CONSTIPATION ,DRUGS FOR CONSTIPATION 
A06A,DRUGS FOR CONSTIPATION ,DRUGS FOR CONSTIPATION 
A06AA,"Softeners, emollients ","Softeners, emollients "
A06AA01,liquid paraffin | 15g | Oral,liquid paraffin
A06AA02,docusate sodium | 0.15g | Oral,docusate sodium
A06AA51,"liquid paraffin, combinations ","liquid paraffin, combinations "
A06AB,Contact laxatives ,Contact laxatives 
A06AB01,oxyphenisatine | 10mg | Oral,oxyphenisatine
A06AB02,bisacodyl | 10mg | Oral,bisacodyl
A06AB03,dantron | 50mg | Oral,dantron
A06AB04,phenolphthalein | 0.2g | Oral,phenolphthalein
A06AB05,castor oil | 20g | Oral,castor oil
A06AB06,senna glycosides ,senna glycosides 
A06AB07,cascara ,cascara 
A06AB08,sodium picosulfate | 5mg | Oral,sodium picosulfate
A06AB09,bisoxatin | 0.12g | Oral,bisoxatin
A06AB20,contact laxatives in combination ,contact laxatives in combination 
A06AB30,contact laxatives in combination with belladonna alkaloids ,contact laxatives in combination with belladonna alkaloids 
A06AB52,"bisacodyl, combinations ","bisacodyl, combinations "
A06AB53,"dantron, combinations ","dantron, combinations "
A06AB56,"senna glycosides, combinations ","senna glycosides, combinations "
A06AB57,"cascara, combinations ","cascara, combinations "
A06AB58,"sodium picosulfate, combinations ","sodium picosulfate, combinations "
A06AC,Bulk-forming laxatives ,Bulk-forming laxatives 
A06AC01,ispaghula (psylla seeds) | 7g | Oral,ispaghula (psylla seeds)
A06AC02,ethulose | 3g | Oral,ethulose
A06AC03,sterculia | 8g | Oral,sterculia
A06AC05,linseed ,linseed 
A06AC06,methylcellulose | 2g | Oral,methylcellulose
A06AC07,triticum (wheat fibre) | 10g | Oral,triticum (wheat fibre)
A06AC08,polycarbophil calcium | 2.5g | Oral,polycarbophil calcium
A06AC51,"ispaghula, combinations ","ispaghula, combinations "
A06AC53,"sterculia, combinations ","sterculia, combinations "
A06AC55,"linseed, combinations ","linseed, combinations "
A06AD,Osmotically acting laxatives ,Osmotically acting laxatives 
A06AD01,magnesium carbonate | 7g | Oral,magnesium carbonate
A06AD02,magnesium oxide | 7g | Oral,magnesium oxide
A06AD03,magnesium peroxide ,magnesium peroxide 
A06AD04,magnesium sulfate | 7g | Oral,magnesium sulfate
A06AD10,mineral salts in combination ,mineral salts in combination 
A06AD11,lactulose | 6.7g | Oral,lactulose
A06AD12,lactitol | 10g | Oral,lactitol
A06AD13,sodium sulfate ,sodium sulfate 
A06AD14,pentaerithrityl  ,pentaerithrityl  
A06AD15,macrogol | 10g | Oral,macrogol
A06AD16,mannitol ,mannitol 
A06AD17,sodium phosphate | 50g | Oral,sodium phosphate
A06AD18,sorbitol | 10g | Oral,sorbitol
A06AD19,magnesium citrate ,magnesium citrate 
A06AD21,sodium tartrate ,sodium tartrate 
A06AD61,"lactulose, combinations ","lactulose, combinations "
A06AD65,"macrogol, combinations ","macrogol, combinations "
A06AG,Enemas ,Enemas 
A06AG01,sodium phosphate ,sodium phosphate 
A06AG02,bisacodyl ,bisacodyl 
A06AG03,"dantron, incl. combinations ","dantron, incl. combinations "
A06AG04,glycerol ,glycerol 
A06AG06,oil ,oil 
A06AG07,sorbitol ,sorbitol 
A06AG10,"docusate sodium, incl. combinations ","docusate sodium, incl. combinations "
A06AG11,"sodium lauryl sulfoacetate, incl. combinations ","sodium lauryl sulfoacetate, incl. combinations "
A06AG20,combinations ,combinations 
A06AH,Peripheral opioid receptor antagonists ,Peripheral opioid receptor antagonists 
A06AH01,methylnaltrexone bromide | 6mg | Powderowder,methylnaltrexone bromide
A06AH02,alvimopan ,alvimopan 
A06AH03,naloxegol | 25mg | Oral,naloxegol
A06AH04,naloxone ,naloxone 
A06AH05,naldemedine | 0.2mg | Oral,naldemedine
A06AX,Other drugs for constipation ,Other drugs for constipation 
A06AX01,glycerol ,glycerol 
A06AX02,carbon dioxide producing drugs ,carbon dioxide producing drugs 
A06AX03,lubiprostone ,lubiprostone 
A06AX04,linaclotide | 0.29mg | Oral,linaclotide
A06AX05,prucalopride | 2mg | Oral,prucalopride
A06AX06,tegaserod | 12mg | Oral,tegaserod
A06AX07,plecanatide | 3mg | Oral,plecanatide
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS ","ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS "
A07A,INTESTINAL ANTIINFECTIVES ,INTESTINAL ANTIINFECTIVES 
A07AA,Antibiotics ,Antibiotics 
A07AA01,neomycin | 5g | Oral,neomycin
A07AA02,nystatin | 1.5MU | Oral,nystatin
A07AA03,natamycin | 0.3g | Oral,natamycin
A07AA04,streptomycin ,streptomycin 
A07AA05,polymyxin B | 3MU | Oral,polymyxin B
A07AA06,paromomycin | 3g | Oral,paromomycin
A07AA07,amphotericin B | 0.4g | Oral,amphotericin B
A07AA08,kanamycin | 3g | Oral,kanamycin
A07AA09,vancomycin | 2g | Oral,vancomycin
A07AA10,colistin | 9MU | Oral,colistin
A07AA11,rifaximin | 0.6g | Oral,rifaximin
A07AA12,fidaxomicin | 0.4g | Oral,fidaxomicin
A07AA51,"neomycin, combinations ","neomycin, combinations "
A07AA54,"streptomycin, combinations ","streptomycin, combinations "
A07AB,Sulfonamides ,Sulfonamides 
A07AB02,phthalylsulfathiazole | 9g | Oral,phthalylsulfathiazole
A07AB03,sulfaguanidine | 4g | Oral,sulfaguanidine
A07AB04,succinylsulfathiazole ,succinylsulfathiazole 
A07AC,Imidazole derivatives ,Imidazole derivatives 
A07AC01,miconazole | 1g | Oral,miconazole
A07AX,Other intestinal antiinfectives ,Other intestinal antiinfectives 
A07AX01,broxyquinoline ,broxyquinoline 
A07AX02,acetarsol ,acetarsol 
A07AX03,nifuroxazide | 0.6g | Oral,nifuroxazide
A07AX04,nifurzide ,nifurzide 
A07B,INTESTINAL ADSORBENTS ,INTESTINAL ADSORBENTS 
A07BA,Charcoal preparations ,Charcoal preparations 
A07BA01,medicinal charcoal | 5g | Oral,medicinal charcoal
A07BA51,"medicinal charcoal, combinations ","medicinal charcoal, combinations "
A07BB,Bismuth preparations ,Bismuth preparations 
A07BC,Other intestinal adsorbents ,Other intestinal adsorbents 
A07BC01,pectin ,pectin 
A07BC02,kaolin ,kaolin 
A07BC03,crospovidone ,crospovidone 
A07BC04,attapulgite ,attapulgite 
A07BC05,diosmectite | 9g | Oral,diosmectite
A07BC30,combinations ,combinations 
A07BC54,"attapulgite, combinations ","attapulgite, combinations "
A07C,ELECTROLYTES WITH CARBOHYDRATES ,ELECTROLYTES WITH CARBOHYDRATES 
A07CA,Oral rehydration salt formulations ,Oral rehydration salt formulations 
A07D,ANTIPROPULSIVES ,ANTIPROPULSIVES 
A07DA,Antipropulsives ,Antipropulsives 
A07DA01,diphenoxylate | 15mg | Oral,diphenoxylate
A07DA02,opium | 0.1g | Oral,opium
A07DA03,loperamide | 10mg | Oral,loperamide
A07DA04,difenoxin ,difenoxin 
A07DA05,loperamide oxide | 5mg | Oral,loperamide oxide
A07DA06,eluxadoline | 0.2g | Oral,eluxadoline
A07DA52,"morphine, combinations ","morphine, combinations "
A07DA53,"loperamide, combinations ","loperamide, combinations "
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS ,INTESTINAL ANTIINFLAMMATORY AGENTS 
A07EA,Corticosteroids acting locally ,Corticosteroids acting locally 
A07EA01,prednisolone ,prednisolone 
A07EA02,hydrocortisone ,hydrocortisone 
A07EA03,prednisone ,prednisone 
A07EA04,betamethasone ,betamethasone 
A07EA05,tixocortol ,tixocortol 
A07EA06,budesonide | 9mg | Oral,budesonide
A07EA07,beclometasone ,beclometasone 
A07EB,"Antiallergic agents, excl. corticosteroids ","Antiallergic agents, excl. corticosteroids "
A07EB01,cromoglicic acid | 0.8g | Oral,cromoglicic acid
A07EC,Aminosalicylic acid and similar agents ,Aminosalicylic acid and similar agents 
A07EC01,sulfasalazine | 2g | Oral,sulfasalazine
A07EC02,mesalazine | 1.5g | Oral,mesalazine
A07EC03,olsalazine | 1g | Oral,olsalazine
A07EC04,balsalazide | 6.75g | Oral,balsalazide
A07F,ANTIDIARRHEAL MICROORGANISMS ,ANTIDIARRHEAL MICROORGANISMS 
A07FA,Antidiarrheal microorganisms ,Antidiarrheal microorganisms 
A07FA01,lactic acid producing organisms ,lactic acid producing organisms 
A07FA02,saccharomyces boulardii | 1g | Oral,saccharomyces boulardii
A07FA51,"lactic acid producing organisms, combinations ","lactic acid producing organisms, combinations "
A07X,OTHER ANTIDIARRHEALS ,OTHER ANTIDIARRHEALS 
A07XA,Other antidiarrheals ,Other antidiarrheals 
A07XA01,albumin tannate | 3g | Oral,albumin tannate
A07XA02,ceratonia ,ceratonia 
A07XA03,calcium compounds ,calcium compounds 
A07XA04,racecadotril ,racecadotril 
A07XA06,crofelemer ,crofelemer 
A07XA51,"albumin tannate, combinations ","albumin tannate, combinations "
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS ","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS "
